project;#commits;#authors;From;To;#stars;#forks;LastGHCommitDate;LongestGapStart (YYYY-MM);LongestGapEnd (YYYY-MM);LongestGapLength;NumCommitsAfterLastGap;NumberOfGapsInTimeline;ActivityPattern
bids-apps_mrtrix3_connectome;472;12;1470327983;1773795736;55;28;2025/06/19;2023-11;2025-05;19;25;8;
google_jax-md;1416;83;1557850490;1762560185;1463;251;2026/08/18;2019-07;2019-07;1;1344;0;
juliaintervals_intervalarithmetic.jl;3403;105;1395244712;1776137504;330;71;2026/09/10;2014-12;2015-03;4;3219;2;
leakec_tfc;765;6;1601671504;1758199663;47;13;2026/08/01;2024-05;2024-08;4;101;1;
magazino_move_base_flex;1329;80;1498233087;1757155217;549;183;2026/09/21;2022-06;2022-08;3;497;2;
moble_quaternion;1064;45;1310767115;1761608346;659;92;2025/11/24;2011-08;2014-02;31;1060;6;
ncar_wrf-python;844;39;1449091912;1776166179;500;178;2026/08/03;2019-07;2020-07;13;362;5;
rajeshrinet_pyross;2269;35;1584976412;1725115770;167;56;2024/08/31;2023-08;2024-07;12;6;4;
santandermetgroup_downscaler;1141;25;1382708378;1742771983;112;62;2025/03/11;2024-02;2024-10;9;4;7;
voutcn_megahit;738;35;1411640958;1761624424;727;145;2025/10/28;2020-01;2022-02;26;30;8;
